Robin,Shetterly,99642225727,13111977
Edward,Kulesa,56374930576,27031984
Allison,Turkin,50059087650,17122017
John,French,92392368481,30121970
Cory,Mitchell,97209515089,05071948
Arthur,Price,54105132407,02061988
Cliff,Norris,24443261990,06051996
Joe,Dame,38392661303,20071976
Gregory,Powers,75164982200,06021947
Alice,Beaudion,10810034212,01081940
Gordon,Smith,18184672756,24091947
Dolores,Woods,97619869182,28061991
Derek,Delp,39096467604,28042017
Clayton,Gayle,59635000367,12091993
Linda,Mcleary,62927834300,21071998
Lessie,Shetler,92246985650,12101955
Viola,Bourgeois,75796851403,01042015
Richard,Patton,66832290748,30031941
Louis,Holcombe,34340842311,07012003
Clifford,Whiteside,82313698807,07011958
Theresa,Mitchell,05476932224,27051958
Lee,Nemoede,62364790700,08022011
Eva,Rawlins,75325302302,24041989
Marvin,Clifford,45864058645,09022005
Thelma,Ruminski,33754300350,08062017
Stacie,Barnett,25807062329,17102010
George,Garcia,06804066030,11121957
John,Matyas,77452229746,18121946
Cheryl,Knox,20154243930,06071980
Anthony,Sakai,64077711100,04121968
Leroy,Mullen,11745010815,04051996
Ramon,Albright,52104363063,11051973
Harriet,Braxton,32066465372,14101995
Judith,Fata,19531265534,20121978
Sarah,Shook,46801634020,11062016
Cheryl,Allen,18826154503,01061993
Verlene,Falgoust,02234484197,19072017
Evelyn,White,82229616919,28021956
John,Grantham,09764883702,16091945
Patricia,Hardy,10752776207,06021959
Gregory,Matton,30377074535,08111958
Kimberly,Medina,98593242634,23121988
Jimmy,Weckerly,90134905067,15051993
Lori,Williams,36016527220,17011942
Christopher,Wallace,22293082628,09112016
Phyllis,Pratt,13594631273,16031999
Michael,Malone,42547718006,10051948
Jay,Tipton,39866232999,26061981
Janis,Ermitanio,76271724540,15121979
Casey,Russell,09250598971,19082010
Mark,Harris,10207835403,02101969
Bernice,Kelley,35349211439,12101961
Allan,Glaser,67934323387,25021998
Elizabeth,Barre,35722259659,24091973
William,Nolan,71619977206,04121980
Patrick,Smith,65035070891,24011967
Patrick,Brown,18225066111,11072007
Myra,Johnson,75642111213,11031943
Bradley,Danker,10323631690,12091949
Cassie,Gaudet,31454779608,29072018
Gary,Aranda,13126678858,03051969
Christopher,Dalton,05944413310,27031998
Gerald,Bouley,98602095104,29111969
